speaker_interval,amp_int,DRESS_F1_50,DRESS_F2_50,FLEECE_F1_50,FLEECE_F2_50,GOOSE_F1_50,GOOSE_F2_50,KIT_F1_50,KIT_F2_50,LOT_F1_50,LOT_F2_50,NURSE_F1_50,NURSE_F2_50,START_F1_50,START_F2_50,STRUT_F1_50,STRUT_F2_50,THOUGHT_F1_50,THOUGHT_F2_50,TRAP_F1_50,TRAP_F2_50
QB_NZ_F_103_60,0.245910173,-0.37534333,0.158246592,0.796016938,0.135812784,0.124489,-0.207716732,-0.485845334,0.166172652,-0.380324529,-0.037264679,0.07565296,0.230028441,-0.255643857,0.101059543,0.306097085,-0.554886993,0.134620445,-0.472368085,-0.776925505,0.255426674
QB_NZ_F_103_120,0.018887812,0.500109561,-0.189254371,0.539130924,-0.77093367,0.772067426,-0.669716414,-0.142402943,0.484514643,-0.351068796,-0.120452596,0,0,-0.477201867,-0.482198393,0.227145147,-0.387195725,-0.474346567,0.595701789,0.331614545,-0.236137277
QB_NZ_F_103_180,-0.158463015,0.016055647,0.337677378,0.486337205,-0.46153466,-0.249999046,0.063413773,0.34902682,-0.200091789,0.329126997,-0.144400633,-0.58000603,-0.788881978,0,0,0.159205668,0.640020626,0.246380814,0.026825081,-0.19738961,0.51029761
QB_NZ_F_103_240,-0.217435553,-0.725524487,1.147287794,-0.963719422,0.357611731,0.076578407,-0.010987535,-0.092143081,-0.317097252,0.248673731,-0.112890058,-0.441308936,0.712454376,0.444820312,-0.761411475,-0.175390111,0.970711912,0.033020109,0.505822352,-0.426361558,-0.062275269
QB_NZ_F_103_300,0.169081778,-0.187308312,-0.073166137,-0.079422594,0.226518073,-0.009817744,0.015958086,0.39609558,-0.031874209,-0.614370393,-0.01223889,0,0,0.161907776,0.267085936,0,0,-0.147320487,-0.505051516,0.080534961,-0.468143301
QB_NZ_F_103_360,-0.118785302,0.173432782,-0.754945842,0.359697406,0.655137337,0.092483153,0.627074315,-0.071201471,-0.249258978,0.789904792,0.765204619,0.945662006,-0.099169474,-0.403917295,0.853231288,0.51244874,-0.23623798,0,0,0.789558441,0.538166202
QB_NZ_F_103_420,0.131083821,0.266428361,0.072707894,-0.630593905,-0.582082807,-0.669962884,-0.069326113,-0.457923188,0.273220203,0.102395066,-0.209522487,0,-0.054431365,0.502766253,-0.03898011,-0.799678633,-0.182833117,0.365761209,-0.349496883,0.252658701,0.018796997
QB_NZ_F_107_60,-0.078878494,-0.096850574,0.642362092,0.571328292,-0.738995393,0.038185495,0.304265634,0.070340673,0.791036748,0.141284938,0.08759977,-0.145674618,0.781392906,-0.023807266,0.36736701,0.547163268,0.377130718,1.12206449,-0.131039373,1.006766338,-0.093324699
QB_NZ_F_107_120,0.103207928,0.576382485,-0.42204096,0.154829866,0.040572296,-0.299796756,0.035596537,-0.454158193,0.249596712,0.616211766,-0.374653507,-0.509296531,-0.107448556,0.744669126,0.215259413,-0.189540217,-0.045761989,0.442685637,-0.085659979,0.059167168,-0.353705766
QB_NZ_F_107_180,0.270022462,0.29018598,-0.293968943,-0.52828843,-0.143278166,0,0,0.46774122,-0.35645579,0.149721323,-0.340317641,0,0,-0.384348927,-0.236310018,0.299807325,0.127549374,0,0,-0.726646778,-0.257674135
