Idnumber,F1,F2,F2-F1,sylldur,o-dur,i-dur,s-dur,s:i-ratio,s-levelDiff,s-ampDiff,s-freqH,s-freqM,s-freqMH,s-var
1,2.134039171,-0.209932975,-0.648471923,-1.158526297,-0.488449659,-1.260746583,-1.174468445,0.140090558,-0.845920691,0.601649742,0.350531072,0.762287336,0.952912559,0.699576263
2,-0.636086033,1.298902483,1.256482697,-0.140901847,-0.125601341,-0.350207384,0.015252837,0.140090558,1.44721802,-0.712809103,-0.574296722,-1.474908419,-1.265684997,-1.863170485
3,0.024028909,-0.098723987,-0.090167719,-0.344426737,0.237246977,-1.260746583,-0.381320924,0.915059599,0.861898319,-0.005430844,-0.627472864,-0.757725541,-0.837693712,-0.395827554
4,-1.013294571,-0.408305765,-0.128938845,-1.158526297,-1.214146296,-1.260746583,-0.381320924,0.915059599,1.019045743,-0.205858903,-0.145828143,-0.560683524,-0.720105481,-0.191331217
5,0.460176282,-1.300983317,-1.219699834,2.097871943,2.051488569,1.470871014,1.204974119,-0.441136224,-1.048414341,-0.435747109,-0.025416963,0.98281228,0.76934545,0.797964734
6,-0.16457536,0.824010048,0.744703844,0.876722603,0.962943614,1.470871014,0.015252837,-1.022363005,1.859770017,-1.37319802,-0.614506626,-0.487910292,-0.676676796,-1.230409915
7,-0.848265836,1.268846,1.27716063,1.080247493,1.325791933,0.560331815,0.411826598,-0.324890868,1.607560693,-1.297218197,-0.694926435,-0.158910916,-0.480340729,-1.373964424
8,0.035816676,-0.81106264,-0.70533624,-0.751476517,-1.214146296,-1.260746583,0.411826598,1.690028641,-1.112724937,-0.220062781,-0.292827394,0.531987773,-0.068034989,1.002448515
9,0.589841717,-0.080690097,-0.19872687,1.080247493,0.600095296,-0.350207384,1.60154788,1.30254412,-1.055858019,0.332604291,-0.373247202,1.157086587,0.599507639,-0.135931339
10,0.413025215,0.814993103,0.610297276,-0.140901847,0.962943614,-0.350207384,-1.174468445,-0.731749615,-0.752245385,2.382102245,-0.735136339,0.400388022,-0.146569416,-0.294169781
11,-1.944528151,0.700778467,1.029025429,0.062623043,-0.851297978,0.560331815,0.808400358,-0.092400155,1.141710075,0.159698678,-0.707746984,-1.217490248,-1.112066252,-1.060286349
12,0.259784246,-1.658655467,-1.483343486,0.673197713,0.600095296,0.560331815,0.411826598,-0.324890868,-0.578661859,0.161085,-0.25261749,1.189986524,0.658408459,0.022768856
13,1.06135239,-0.744938377,-0.873344449,0.062623043,-0.488449659,1.470871014,0.015252837,-1.022363005,-0.819410369,-1.447517693,-0.735136339,1.255786399,0.363904358,2.506609313
14,0.377661914,-0.501480863,-0.514065355,1.080247493,0.237246977,0.560331815,1.60154788,0.37258127,-0.367172033,0.238633366,0.712420208,-0.619510043,-0.755211223,-0.023022814
15,-0.129212059,-1.171740439,-0.979318858,-0.344426737,-0.488449659,1.470871014,-0.777894684,-1.409847526,-0.946898051,-0.26340003,3.305959022,1.179854297,2.395982651,1.750571608
16,1.367834327,-1.198791274,-1.330843727,0.062623043,0.237246977,-0.350207384,0.015252837,0.140090558,-1.209616535,0.440351706,1.677457906,-0.52081023,1.60082158,0.406776443
17,-1.814862715,1.701659359,1.86131225,-0.547951627,-0.851297978,-0.350207384,0.015252837,0.140090558,1.398001163,1.257022803,-0.45366701,-1.244608856,-1.12824975,-0.821133847
18,-0.742175934,2.353885045,2.186989702,-0.344426737,0.600095296,0.560331815,-1.571042206,-1.48734443,0.610687972,-0.257409067,-0.574296722,-0.389210479,-0.617775976,-0.851099925
19,-0.412118463,-0.252012052,-0.126354103,0.469672823,-0.125601341,-0.350207384,1.204974119,1.01193073,-0.190206053,-1.771271133,1.299106019,-1.020448231,1.416080723,1.380179356
20,0.141906578,-0.93729987,-0.837158065,-0.751476517,0.237246977,-1.260746583,-1.174468445,0.140090558,-0.124298295,0.50688635,-0.694926435,0.795187273,0.089033865,-0.66672301
21,-0.777539235,0.340100668,0.462967,-0.140901847,-0.488449659,-1.260746583,0.808400358,2.077513162,-0.205700784,-0.974891996,-0.386650503,1.278375306,0.592963103,0.384446823
22,-0.38854293,0.83903829,0.806737644,-0.955001407,-1.214146296,-1.260746583,0.015252837,1.30254412,-1.290728553,1.613828726,0.712420208,0.959686961,1.129615019,0.627379209
23,-0.093848759,-0.041616669,-0.015210211,2.504921723,2.414336888,1.470871014,1.60154788,-0.247393963,0.788884731,-1.168078629,-0.735136339,-1.935507546,-1.540555491,-0.686982962
24,1.969010435,-0.802045695,-1.12147965,-1.565576077,-1.214146296,0.560331815,-1.967615966,-1.719835143,-0.605534088,0.975097022,-0.346513443,0.98281228,0.201002332,0.449032296
25,-0.895416903,0.234902977,0.398348458,-0.955001407,-1.214146296,0.560331815,-0.777894684,-1.022363005,0.644814857,0.884282063,1.6202025,-1.086128904,-1.033674098,-0.249737624
26,1.025989089,-0.158836954,-0.361565596,-0.751476517,-0.488449659,-0.350207384,-0.777894684,-0.441136224,-0.226201596,0.579651513,-0.707746984,-0.002397808,-0.386938825,-0.183962169
27,0.083755077,-1.100340855,-1.011371977,-0.523236461,-0.358810431,-0.807410347,0.140512525,0.972040182,-0.590735466,-0.425775738,0.704355953,0.480239722,0.360107084,0.454482622
28,-0.237497273,-1.353097835,-1.134733903,0.13276149,-0.358810431,0.60555776,0.140512525,-0.766568274,-1.26263727,0.260684697,-0.745090079,1.579161685,1.400564217,0.197423032
29,0.726259776,-0.751842596,-0.905143652,-0.304570477,-0.012372773,-0.807410347,0.140512525,0.972040182,-1.384837185,1.683432594,-0.700212632,1.76846873,1.642743523,-0.131579464
30,-1.12629544,1.025115564,1.277677086,1.007425425,-0.358810431,1.547536499,0.927382666,-0.964137417,0.117460405,-2.092296533,-0.547438347,-0.785185568,1.715854257,-0.116166709
31,-0.258914096,0.531090558,0.558065854,-0.523236461,-0.358810431,-0.336420978,-0.252922545,-0.134347017,-0.432281854,-1.074598211,1.033775506,-0.751884903,-0.806466066,1.099443279
32,-0.987086088,-0.518233872,-0.147838498,0.13276149,1.026940199,-0.807410347,-0.252922545,0.655929554,1.72105043,0.424277644,-0.700212632,1.203382979,1.044777684,0.043736072
33,-0.162538391,0.481305093,0.48267801,0.13276149,-0.705248089,0.134568391,0.927382666,-0.039513829,-1.192761426,0.200962608,1.996134148,-0.026509536,-0.119682108,0.491627943
34,0.908302774,-0.950984458,-1.141587343,-1.179234413,0.334064884,-0.807410347,-1.826662828,-0.60851296,-1.50154599,-0.053040459,-0.218018795,1.612462351,1.432093221,0.976732078
35,0.222964428,-0.973962366,-0.942837574,-1.397900396,-1.398123404,-0.807410347,-0.252922545,0.655929554,-0.214919969,1.092424133,-0.700212632,-0.292432242,-0.371457199,-0.456896231
36,-0.837168325,0.623002187,0.825350026,-0.085904494,-0.358810431,1.547536499,-1.039792687,-1.556844845,0.898942326,-1.008202736,-0.020367063,-0.585381575,-0.648821046,0.166066999
37,0.276506487,0.615342885,0.462117689,1.007425425,0.680502542,0.134568391,0.927382666,-0.039513829,-0.071410983,-0.133738292,-0.547438347,-0.785185568,-0.83799507,-0.314301733
38,-1.06204497,1.335317312,1.534681098,0.13276149,-0.358810431,1.547536499,-0.646357616,-1.438303359,2.076791411,0.93364794,0.243168579,-0.918388231,-0.964111086,-1.097728412
39,0.447841073,-0.782479805,-0.843462689,1.444757393,1.026940199,0.134568391,1.320817737,0.150152548,0.419949705,-0.502167094,-0.679206168,-0.8517869,-0.901053078,0.018625471
40,-0.505207564,1.461695801,1.469573415,1.882089361,0.334064884,2.018525868,1.320817737,-1.029993798,0.12600298,-0.24382511,-0.700212632,-0.225951566,-0.308513426,1.004200627
41,-0.398123447,0.435349278,0.516945212,1.226091409,2.066253172,-0.807410347,0.533947596,1.288150811,1.93123169,1.461969498,-0.700212632,-0.791037316,-0.843535493,-1.851866986
42,0.415715838,-0.928006551,-0.963397895,0.570093458,0.680502542,-0.807410347,0.927382666,1.604261439,-0.635226861,1.096052713,-0.613322258,1.479259689,1.305977205,-0.151696017
43,0.405007426,0.611513234,0.417570327,0.351427474,-1.051685746,0.134568391,1.714252808,0.339818926,1.168604002,-0.373417653,-0.43715441,-1.123440698,-1.158254356,-2.174352201
44,-0.708667385,1.128516147,1.236556444,1.226091409,1.719815515,-0.336420978,0.533947596,0.339818926,1.257418071,0.755419991,-0.745090079,1.179553699,1.022216168,-1.666098931
45,-0.205372038,0.293652184,0.328475603,-0.523236461,-0.358810431,0.134568391,-0.646357616,-0.798179337,-0.007354337,0.313900264,0.352020257,-0.092990213,-0.182625881,-0.025840568
46,-0.548041211,0.163444043,0.321622163,-0.741902445,-0.012372773,-0.807410347,-0.646357616,0.339818926,-0.255109653,0.61117516,0.023197479,-0.425393595,-0.497344744,0.122007694
47,-0.034037451,1.281702195,1.157741881,1.444757393,1.026940199,2.018525868,-0.252922545,-1.451474635,0.006732867,-2.059381634,0.878136702,-1.223161713,-1.252670014,0.522176307
48,0.330048545,1.120856844,0.897311149,0.570093458,2.066253172,1.547536499,-2.613532969,-2.031010788,-1.243536665,-1.928182266,3.603248016,-0.751884903,-0.806466066,2.79048609
49,0.351465368,0.603853931,0.427850488,0.351427474,0.334064884,-0.807410347,0.927382666,1.604261439,-0.465938116,-0.152813156,0.704355953,-1.451198879,-1.468575151,0.367581242
50,4.088701034,0.305141137,-1.035359018,-0.960568429,-0.705248089,-0.336420978,-0.646357616,-0.371429988,1.109564545,-0.139281449,0.220491146,0.006730802,-0.088210222,-0.691273693
51,-1.222671145,-0.694397828,-0.230079782,-1.61656638,-1.051685746,-0.807410347,-1.039792687,0.023708297,-0.447217402,-0.096543843,0.440820311,-0.352276916,-0.428118017,1.191059125
52,0.608467248,-0.966303063,-1.059346059,-0.960568429,-1.398123404,-0.807410347,0.533947596,1.288150811,-0.097689974,1.059797542,-0.700212632,0.372374523,0.257980527,-0.752305107
53,0.222964428,-2.578586221,-2.378633319,-1.179234413,-1.398123404,-0.807410347,0.140512525,0.972040182,-0.679684085,0.908610632,-0.700212632,-0.026509536,-0.119682108,0.256375508
54,-0.794334678,-0.418662941,-0.120424737,-1.61656638,-1.051685746,-0.807410347,-1.039792687,0.023708297,-0.350861196,-0.519091242,-0.745090079,1.778965679,1.621267245,-0.271918038
55,-0.607559036,-0.593715313,-0.252306096,0.223577135,-1.136368623,1.97719098,0.051633945,-1.186250104,-0.215053515,-1.765778007,0.207059233,1.263147757,0.949930758,1.67308688
56,-1.697070599,0.475833401,1.305327518,-0.526916924,0.397729018,-0.697832111,-0.596137365,0.015455103,-0.735143817,0.242427565,2.884441657,0.465252768,-0.167995844,-0.905444485
57,-0.469061803,-1.50976398,-1.185020834,0.223577135,0.397729018,-0.697832111,0.3755196,0.856648748,-0.575134246,0.753481241,-0.833088528,0.52329592,0.398382239,0.452935928
58,-0.312098273,-1.321602632,-1.087085786,0.723906508,-0.113636862,-0.029076338,1.023290909,0.436051925,-0.683381011,0.78225654,-0.39604049,1.139066023,0.630131233,0.590239976
59,-0.792222012,2.332688806,2.59713743,-0.77708161,-1.136368623,-0.697832111,0.051633945,0.576250866,-0.44248121,1.632526088,-0.91013651,1.229518128,0.296243624,-0.537263807
60,-0.145901594,-0.450118495,-0.350241143,0.223577135,-0.113636862,-0.697832111,0.699405255,1.137046629,-0.983963811,-0.031007851,0.182868124,0.936922046,0.937103186,1.747273625
61,-0.145901594,-0.138166787,-0.056436,0.723906508,-0.113636862,0.639679435,0.699405255,-0.321022355,0.056565661,0.541314348,0.375837662,0.263108791,-0.290784625,-0.008901106
62,2.180851914,0.698656049,-0.443512617,-0.026587551,0.397729018,-0.697832111,0.051633945,0.576250866,0.794149924,0.395864836,-0.871612519,0.825962581,0.051110948,-0.127020542
63,-0.339797719,1.421591754,1.51052476,-0.77708161,-0.625002743,-0.697832111,-0.27225171,0.295852984,-0.597672654,0.821815191,-0.948660501,1.162258871,0.255388178,-0.400866376
64,0.251123807,-0.360989435,-0.466830485,0.473741822,0.397729018,-0.697832111,0.699405255,1.137046629,-0.271146118,1.828631234,-0.859167382,0.498943431,-0.147531047,0.089983936
65,-0.589092738,1.228478792,1.454561876,1.224235881,1.420460778,1.308435208,0.051633945,-0.965937482,0.08914834,-0.166974659,-0.948660501,1.263147757,0.316671347,0.753846458
66,-0.339797719,-1.480054293,-1.222329424,0.723906508,0.909094898,-0.697832111,0.699405255,1.137046629,-0.092434664,0.72502686,-0.820573474,0.869540721,0.077581718,-0.242691783
67,-0.265932528,0.39660757,0.507856416,-1.277410983,-1.136368623,0.639679435,-1.243908674,-1.330454728,0.577279728,-0.417248833,-0.447848616,-1.191815156,-1.174552429,-0.359753129
68,0.131092872,0.243107523,0.162751963,-0.026587551,-1.136368623,1.97719098,-0.27225171,-1.306420624,-0.147281879,-0.643755428,1.593922913,0.657814436,-0.051027666,1.567933049
69,0.241890658,-0.370892664,-0.471494059,0.223577135,1.420460778,-0.697832111,-0.27225171,0.295852984,0.308029863,1.0696825,2.421314766,-0.646539103,-0.843334141,-0.556313613
70,1.082107202,0.60952699,0.027508326,1.724565254,1.420460778,1.97719098,0.3755196,-1.066079583,0.351540159,-0.793312801,1.495060983,0.431562105,-0.188460641,0.65702106
71,0.694314951,0.500591473,0.1207798,-1.027246297,-0.113636862,-0.029076338,-1.243908674,-1.036036953,-0.712547579,-1.188529604,2.402926726,-2.03255588,2.114310967,3.103992463
72,1.479132602,0.649139905,-0.135716753,-2.278069729,-1.136368623,-0.697832111,-1.891679984,-1.106136423,0.056439927,-1.352016841,0.530213292,-1.994165614,-1.661926015,1.294901702
73,0.371154742,-0.504586253,-0.66270058,-0.276752238,-0.625002743,1.308435208,-0.596137365,-1.246335364,-0.471071897,-0.355961337,-0.666197844,0.566324756,0.486877655,1.365008989
74,0.158792318,0.307478511,0.2093877,-0.77708161,-0.625002743,-0.697832111,-0.27225171,0.295852984,0.653423109,-0.617119057,0.784919099,-0.082037401,-0.500437571,-0.227462842
75,-0.958418692,-0.588763699,-0.070426722,-0.276752238,0.397729018,-0.697832111,-0.27225171,0.295852984,-1.530112687,0.229547544,1.803812244,0.903231384,1.796624655,-0.564145696
76,-0.699890524,1.055172287,1.347299681,0.223577135,-0.113636862,-0.697832111,0.699405255,1.137046629,1.105076002,0.162235794,-0.666197844,-0.410704464,-0.700080562,-0.520601805
77,-0.478294952,-0.405553965,-0.140380327,-0.526916924,-0.113636862,-0.697832111,-0.27225171,0.295852984,1.194825083,1.855966446,-0.948660501,0.893221839,0.091966394,-0.940591436
78,-0.404429761,1.000704529,1.146766012,-0.026587551,-0.113636862,-0.697832111,0.3755196,0.856648748,-1.147618474,0.341483038,2.017686815,0.422407034,1.910033737,-0.04482092
79,0.574284016,-1.049263839,-1.278292308,-0.526916924,0.397729018,0.639679435,-1.243908674,-1.330454728,-0.70545088,-1.11861257,2.903738611,-1.69625959,2.379871365,2.806152142
80,0.999008863,0.322333354,-0.201006785,-0.276752238,1.420460778,-0.697832111,-0.920023019,-0.264942779,0.670137429,0.877171001,-0.820573474,-0.579157778,-0.802404547,-0.139727187
81,-0.127435296,0.35204304,0.395930648,-1.027246297,-0.113636862,-0.697832111,-0.920023019,-0.264942779,1.167431177,0.101483469,-0.550416121,-0.983445731,-1.047982109,-0.497212014
82,1.119039798,-0.227295846,-0.779289923,-0.77708161,-0.113636862,-0.697832111,-0.596137365,0.015455103,0.412727419,0.608941069,-0.820573474,-0.073797836,-0.495432594,0.273325264
83,1.82075911,0.540204388,-0.410867601,-1.52757567,-1.136368623,-0.697832111,-0.920023019,-0.264942779,0.347158629,1.451804129,-0.974949105,1.139066023,0.241300093,-1.167340562
84,1.451433156,0.505543087,-0.256969669,0.473741822,-0.625002743,3.314702526,-0.596137365,-1.666932186,2.205900235,-0.018616266,-0.859167382,-0.781301754,-0.925193328,-1.10762703
85,-0.284398826,0.10446232,0.242032716,-0.77708161,-0.113636862,-0.697832111,-0.596137365,0.015455103,2.182456769,-0.653040121,-0.897761289,-1.017136394,-1.068446906,-0.8488203
86,-0.801455161,1.471107898,1.790339182,0.723906508,-0.625002743,1.97719098,0.3755196,-1.066079583,0.404344278,-0.876919942,0.052963268,-1.460852188,0.868219867,0.366282342
87,0.971309416,-0.583812084,-1.04045005,-1.52757567,-0.625002743,1.308435208,-2.215565638,-1.947330068,0.187301644,-1.848689156,1.302091445,-1.994165614,-1.661926015,0.815413963
88,0.694314951,0.173784921,-0.187016064,-0.026587551,-0.113636862,0.639679435,-0.27225171,-0.825738542,-0.303414363,-0.7300931,1.13163502,0.657814436,-0.051027666,1.011910783
89,0.731247546,0.193591379,-0.187016064,0.723906508,-0.113636862,2.645946753,-0.27225171,-1.456633775,2.165549255,1.130026162,-0.717516554,-0.586481835,-0.806853416,-1.247118296
90,0.500418825,0.881865783,0.577810022,-1.277410983,-0.625002743,-0.697832111,-0.920023019,-0.264942779,0.303774739,-0.206360411,-0.936355197,-0.107488499,-0.515897391,0.129583556
91,0.020295086,-2.262409371,-2.141053441,-0.77708161,-0.625002743,1.97719098,-1.567794329,-1.787102707,1.354427057,-1.469835541,-0.91013651,-2.066185509,-1.705673226,-0.696506453
92,1.239070733,0.248059138,-0.392213306,-0.526916924,-1.136368623,-0.029076338,0.051633945,-0.194843308,-1.246329009,0.433590764,0.245583224,-0.11566703,0.970358481,-0.063976491
93,0.38038789,-0.103505486,-0.289614685,-0.526916924,-0.113636862,-0.697832111,-0.27225171,0.295852984,0.196528938,-1.547683248,1.093111028,0.792332952,1.419768386,0.434336145
94,0.925143672,-0.910618635,-1.324928045,0.473741822,1.420460778,-0.697832111,0.051633945,0.576250866,-1.543835241,-0.592020684,1.324254975,0.893221839,1.542334724,1.774024629
95,0.583517165,-0.91557025,-1.157039392,0.723906508,-1.136368623,1.308435208,1.023290909,-0.54534066,0.105610222,1.506017331,-0.010101414,-0.040107174,-0.474967797,-0.100325738
96,-0.17360104,-0.039134498,0.050826194,1.474400567,-0.113636862,0.639679435,1.671062219,0.183693832,-0.632401905,1.914593173,0.168535242,0.758703323,0.010255502,-0.33503702
97,0.131092872,-0.529344326,-0.564765533,-0.77708161,0.397729018,-0.697832111,-0.920023019,-0.264942779,0.325042746,1.389863699,-0.974949105,1.037994035,0.179905703,-1.284101418
98,1.146739244,-0.242150689,-0.807271365,-0.026587551,0.909094898,-0.029076338,-0.596137365,-0.615440131,-1.093350775,-1.284812194,2.18975132,-1.589877661,2.001272623,3.083860081
