speaker,Aa,Ab,Ac,Ad,Ae,Af,Ag,Ah,Ba,Bb,Bc,Bd,Be,Bf,Bg,Bh,Ca,Cb,Cc,Cd,Ce,Cf,Cg,Ch,Ci,Cj,D
P1,3,2,0,8,10,29,7,0,97,100,100,99,54,100,100,98,0,37,8,4,8,0,5,2,7,7,8
P2,0,0,56,55,8,8,7,24,74,95,43,72,5,69,60,26,7,7,3,8,3,2,2,0,9,0,6
P3,32,2,64,76,52,48,21,37,99,97,90,99,98,97,98,100,3,8,0,0,2,7,4,0,1,0,4
P4,13,8,31,63,34,49,25,40,72,77,85,92,99,93,93,91,0,9,12,1,0,1,20,13,7,1,1
P5,50,37,34,51,69,37,20,73,89,90,89,91,94,92,97,93,2,8,13,7,1,0,15,17,7,0,2
P6,0,0,8,35,27,9,1,29,57,97,97,87,92,95,93,95,10,32,30,38,43,13,22,21,20,38,7
P7,0,2,17,18,48,14,9,0,50,100,100,100,97,100,98,100,3,50,33,0,0,3,7,2,1,0,3
P8,3,2,16,62,51,7,0,11,85,94,96,95,72,81,68,45,0,3,3,13,12,2,2,1,8,0,4
P9,30,0,2,30,12,3,5,19,99,99,97,99,100,97,76,62,19,7,12,29,0,0,0,0,0,3,2
P10,31,0,6,25,33,0,20,29,100,100,100,100,79,97,84,75,0,8,11,3,0,0,0,0,0,0,3
P11,0,5,31,53,30,10,13,11,70,78,68,82,62,71,69,52,3,0,0,3,0,0,2,0,2,0,6
P12,19,3,42,1,26,29,1,41,67,99,97,89,45,50,67,41,0,7,0,22,0,1,4,3,8,0,2
P13,2,9,3,31,38,17,3,3,83,93,67,34,55,43,29,16,3,0,1,6,0,0,4,8,4,0,7
P14,1,0,3,4,4,0,0,1,29,68,53,50,29,65,65,34,0,3,1,1,0,2,1,0,0,0,2
P15,48,25,18,57,58,30,22,9,78,76,88,87,88,82,85,73,5,13,29,3,0,1,8,7,0,1,2
P16,3,0,0,18,0,0,6,0,50,60,45,47,40,50,40,41,2,0,1,22,0,0,0,0,0,1,2
P17,17,38,0,48,20,8,0,4,59,93,77,98,55,71,67,28,3,5,3,8,16,8,0,7,3,18,8
P18,43,1,31,39,2,3,20,39,100,96,100,98,100,94,99,90,2,2,0,7,0,2,0,0,3,2,3
P19,0,2,49,57,63,66,37,65,90,87,93,99,89,96,94,99,1,2,9,8,0,1,8,7,1,0,7
P20,65,31,60,72,54,59,67,58,90,99,95,94,91,91,97,98,48,9,1,16,5,18,7,0,4,0,0
P21,30,1,5,23,53,56,0,0,98,98,97,97,99,97,98,76,0,17,43,12,13,12,4,49,23,0,3
P22,0,1,3,15,14,13,17,3,98,100,98,100,49,76,77,80,0,0,3,0,1,3,0,0,2,3,7
P23,9,13,5,1,1,8,8,9,100,99,87,98,48,93,89,71,0,4,3,7,3,3,0,2,2,1,7
P24,0,3,2,0,13,0,0,0,14,100,77,11,0,31,84,18,0,8,11,26,10,1,2,0,0,0,6
P25,23,0,16,18,61,20,2,7,87,62,68,98,69,69,88,79,0,5,8,5,3,0,3,2,0,2,3
P26,25,18,10,78,87,42,15,53,97,100,100,100,100,100,97,97,1,6,4,1,19,2,0,0,1,4,4
P27,29,0,52,100,75,52,30,77,100,100,89,99,15,74,76,62,3,0,0,3,0,0,18,22,21,0,7
P28,72,31,54,58,25,21,56,78,99,100,100,97,96,100,97,100,3,12,13,0,9,7,12,8,5,0,3
P29,69,4,47,73,53,18,15,17,46,84,59,71,58,62,70,57,9,1,0,27,13,0,12,9,8,6,2
P30,5,4,0,20,19,0,0,1,76,47,44,44,60,58,58,41,0,1,12,3,2,2,0,0,0,2,4
P31,1,1,1,0,0,0,2,0,49,97,68,69,47,71,56,65,2,8,7,4,3,0,5,8,4,0,3
P32,3,0,0,0,28,5,5,28,87,87,95,91,98,98,100,72,2,8,3,1,0,7,0,0,0,2,3
P33,51,19,56,59,60,23,36,70,100,100,94,100,100,100,98,100,0,7,18,6,0,5,3,3,4,1,5
P34,15,3,8,20,21,40,6,7,33,39,38,37,41,73,72,68,0,8,8,19,0,12,4,8,7,0,1
P35,0,49,51,67,1,3,0,50,100,100,96,99,94,98,96,44,7,0,1,7,0,0,0,3,7,0,2
