speaker,THOUGHT_F1,THOUGHT_F2,FLEECE_F1,FLEECE_F2,KIT_F1,KIT_F2,DRESS_F1,DRESS_F2,GOOSE_F1,GOOSE_F2,TRAP_F1,TRAP_F2,START_F1,START_F2,STRUT_F1,STRUT_F2,NURSE_F1,NURSE_F2,LOT_F1,LOT_F2
CC_f_007,-0.307118301,-0.047771764,-0.112553237,0.08508656,0.029069955,-0.019464938,0.065228588,0.129361864,-0.032692217,-0.001505744,0.026112181,-0.059008131,-0.001257902,-0.019606217,-0.003775137,-0.053180364,0.103432852,-0.072748758,0.115114749,-0.025044633
CC_f_010,0.224197448,-0.066893449,-0.349902954,0.424016459,-0.153258433,0.014036997,0.112449702,-0.155759576,-0.070091329,0.031156873,0.257934046,-0.224484032,-0.018485253,-0.15406561,-0.239367205,0.056736012,0.171199409,-0.29678252,0.186071831,0.082498789
CC_f_020,-0.017857044,-0.350970326,-0.054118043,-0.295926142,0.154339454,0.186373685,0.271395944,-0.126434192,0.013056108,0.238410286,-0.310896366,-0.292549871,0.01489276,0.22248048,0.096789824,0.151206124,-0.04524303,0.101232996,-0.065786212,0.10541448
CC_f_024,0.018901747,0.014673876,0.104748835,0.028157759,0.034003774,0.004323933,0.033544962,-0.226366394,-0.075115691,0.081028348,-0.150317362,-0.004263721,0.06117693,-0.071737028,0.095163614,0.028635784,0.078504751,0.136625546,-0.005511737,-0.109194392
CC_f_025,0.225831749,-0.301933836,-0.011839563,-0.276476451,-0.048773841,0.264863945,-0.039623613,-0.145981558,0.024696078,-0.149822327,-0.182831883,0.042185002,-0.008296904,0.216800077,0.201486757,0.34226701,-0.161695582,0.218813501,-0.024244373,0.217369579
CC_f_027,-0.270924706,-0.009632055,-0.018856616,-0.854207692,0.28221453,0.153236612,-0.085717428,-0.582205058,0.116890951,0.265847846,0.121448221,0.053212091,-0.002285811,0.148121935,0.043667945,0.207163547,0.020691258,0.272241265,-0.007244245,0.01279309
CC_f_033,-0.05777568,-0.090732862,-0.10537406,0.103196778,-0.130726108,0.146021825,-0.002600509,0.15153895,0.024933373,-0.090785262,0.159408535,-0.094430195,0.019629951,-0.068389469,-0.096685246,0.007903141,0.062676171,-0.305992523,0.146059843,0.208980954
CC_f_040,-0.09073712,-0.223357106,0.048079905,-0.071393992,0.262113991,0.022091216,0.022277679,0.084750111,0.078059035,0.07893552,-0.070891636,0.069260654,-0.091272578,-0.096866876,0.181172045,0.033991773,-0.239771331,0.18960546,0.059367756,0.102007283
CC_f_051,-0.115536338,-0.086020767,-0.051964843,0.09181897,0.199679318,-0.139061711,-0.043036293,0.136096879,-0.003973654,0.048746377,0.063303488,0.050462662,-0.065277108,-0.050978792,0.001981628,-0.043941209,-0.015433843,-0.289687024,0.130767582,-0.036250078
CC_f_052,0.294925379,0.470934969,-0.037289915,0.15629777,-0.040375124,-0.026618395,-0.1098776,0.021282206,-0.075890885,-0.109247929,-0.191138842,0.037149437,-0.033826926,-0.214686001,0.021240039,-0.159291274,0.036027011,-0.135420833,0.176666553,-0.189370024
CC_f_054,-0.308916516,-0.647329637,0.005483633,-0.648734098,0.110836399,0.327734899,0.016422365,-0.406711984,-0.023600931,0.206957404,0.113387067,-0.225667518,-0.030724966,0.49451993,0.021067121,0.488223934,0.049680141,0.423596361,0.023816284,0.162873875
CC_f_055,0.147478672,-0.098825634,0.046412148,-0.089318631,0.10726539,-0.128257259,0.024291493,0.116315098,0.075277551,0.007682056,-0.173688437,-0.064701098,0.017071337,0.085771412,0.011168024,0.081604426,-0.109603835,-0.043212389,-0.099878104,0.072589594
CC_f_057,-0.291331469,-0.243548296,0.232773842,0.050478319,0.157336032,0.015493506,0.125827475,0.031234886,-0.01935196,-0.066639481,0.029525481,0.101755353,-0.042987288,0.073270844,0.032266914,0.059405569,-0.20315554,-0.168968064,-0.025525441,0.13011008
CC_f_064,-0.069533356,-0.109832,-0.060852693,0.025055088,-0.037573672,0.240311752,0.010986834,-0.044087785,-0.062223821,0.165136988,0.143241817,-0.131219737,0.011805588,-0.395675928,-0.010890732,-0.021160131,0.041502242,-0.055515106,0.000987875,0.070727633
CC_f_066,0.148355411,0.284237322,0.04756617,0.156506817,0.044406745,-0.103594004,0.002344023,-0.137682138,-0.064119321,0.126561253,-0.30567601,0.012200577,-0.044867291,0.079816217,0.172584884,-0.038941778,-0.023646173,-0.00430977,0.052394414,-0.332859125
CC_f_067,0.63769773,0.594715152,-0.002722725,0.120058391,-0.126197632,-0.062083619,-0.152249806,0.104831812,-0.018905935,-0.07964958,-0.04948534,0.023402822,-0.055133547,-0.349612874,0.0197021,-0.497955185,-0.038133561,-0.052684092,0.038369929,-0.245610856
CC_f_074,0.062276709,-0.056113283,0.08173051,0.20376617,-0.134607277,-0.043220079,-0.053531101,0.013424539,0.069433257,0.048656208,-0.017956758,-0.126669847,0.039604562,0.062883768,-0.332744892,-0.006802784,-0.068326419,-0.111294497,0.036563663,0.233369135
CC_f_076,0.043606749,0.275343697,-0.021198913,0.054226842,0.007073657,-0.210410437,0.018892142,0.137448067,0.031495686,0.052048348,0.043277547,0.065893159,-0.019054496,-0.11504307,-0.102907829,-0.049923255,-0.124856247,-0.384288867,0.110575271,0.044778789
